"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1988272";"PICOLAMINE";"NSC-59706|PICOLAMINA|PICOLAMINE";"NSC-59706";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"NCc1cccnc1";"InChI=1S/C6H8N2/c7-4-6-2-1-3-8-5-6/h1-3,5H,4,7H2";"False";"0"
"CHEMBL2111072";"TACLAMINE";"TACLAMINA|TACLAMINE|TACLAMINE, (4AS-TRANS)-ISOMER";"";"2.0";"";"";"1972";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31";"InChI=1S/C21H23N/c1-2-8-17-15(6-1)11-12-16-7-5-9-18-20-10-3-4-13-22(20)14-19(17)21(16)18/h1-2,5-9,19-20H,3-4,10-14H2";"False";"0"
"CHEMBL2104888";"INGLIFORIB";"CP-368,296|CP-368296|INGLIFORIB";"CP-368,296|CP-368296";"2.0";"";"";"2000";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1C[C@@H](O)[C@@H](O)C1)c1cc2cc(Cl)ccc2[nH]1";"InChI=1S/C23H24ClN3O5/c24-15-6-7-16-14(9-15)10-18(25-16)22(31)26-17(8-13-4-2-1-3-5-13)21(30)23(32)27-11-19(28)20(29)12-27/h1-7,9-10,17,19-21,25,28-30H,8,11-12H2,(H,26,31)/t17-,19-,20+,21+/m0/s1";"False";"0"
"CHEMBL1367478";"LEVDOBUTAMINE";"LEVDOBUTAMINA|LEVDOBUTAMINE|LY-206243|LY206243";"LY-206243|LY206243";"2.0";"";"";"1991";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1";"InChI=1S/C18H23NO3/c1-13(2-3-14-4-7-16(20)8-5-14)19-11-10-15-6-9-17(21)18(22)12-15/h4-9,12-13,19-22H,2-3,10-11H2,1H3/t13-/m0/s1";"False";"0"
"CHEMBL2106168";"BROFOXINE";"BROFOXINA|BROFOXINE|F.I. 6820|F.I.-6820|FI-6820";"F.I. 6820|F.I.-6820|FI-6820";"2.0";"";"";"1976";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CC1(C)OC(=O)Nc2ccc(Br)cc21";"InChI=1S/C10H10BrNO2/c1-10(2)7-5-6(11)3-4-8(7)12-9(13)14-10/h3-5H,1-2H3,(H,12,13)";"False";"0"
"CHEMBL1742433";"BUTANSERIN";"BUTANSERIN|BUTANSERINA|BUTANSERINE";"";"2.0";"";"'-anserin'";"";"serotonin 5-HT2 receptor antagonists";"'-anserin(-anserin)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1";"InChI=1S/C24H26FN3O3/c25-19-9-7-17(8-10-19)22(29)18-11-15-27(16-12-18)13-3-4-14-28-23(30)20-5-1-2-6-21(20)26-24(28)31/h1-2,5-10,18H,3-4,11-16H2,(H,26,31)";"False";"0"
"CHEMBL2111138";"ADATANSERIN";"ADATANSERIN|ADATANSERINA|ADATANSERINE|WY-50324";"WY-50324";"2.0";"";"'-anserin'";"1993";"serotonin 5-HT2 receptor antagonists";"'-anserin(-anserin)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2";"InChI=1S/C21H31N5O/c27-19(21-13-16-10-17(14-21)12-18(11-16)15-21)22-4-5-25-6-8-26(9-7-25)20-23-2-1-3-24-20/h1-3,16-18H,4-15H2,(H,22,27)";"False";"0"
"CHEMBL37681";"SPARFOSIC ACID";"ACIDE SPARFOSIQUE|ACIDO ESPARFOSICO|N-PHOSPHONACETYL-L-ASPARTIC ACID|NCI 224131|NSC-224131|SPARFOSIC ACID";"NCI 224131|NSC-224131";"2.0";"";"'-fos-'";"1981";"phosphoro-derivatives";"'-fos-(-fos-)'";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"O=C(O)CC(NC(=O)CP(=O)(O)O)C(=O)O";"InChI=1S/C6H10NO8P/c8-4(2-16(13,14)15)7-3(6(11)12)1-5(9)10/h3H,1-2H2,(H,7,8)(H,9,10)(H,11,12)(H2,13,14,15)";"False";"0"
"CHEMBL2105306";"PARVAQUONE";"NSC-278|PARVACUONA|PARVAQUONE";"NSC-278";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C1C(O)=C(C2CCCCC2)C(=O)c2ccccc21";"InChI=1S/C16H16O3/c17-14-11-8-4-5-9-12(11)15(18)16(19)13(14)10-6-2-1-3-7-10/h4-5,8-10,19H,1-3,6-7H2";"False";"0"
"CHEMBL2106630";"DIMETHOLIZINE";"DIMETHOLIZINE|DIMETOLIZINA";"";"2.0";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COCCCN1CCN(c2ccccc2OC)CC1";"InChI=1S/C15H24N2O2/c1-18-13-5-8-16-9-11-17(12-10-16)14-6-3-4-7-15(14)19-2/h3-4,6-7H,5,8-13H2,1-2H3";"False";"0"
