Parent Molecule,Name,InChIKey,Smiles,Drug Type,Administration_Routes,SideEffects,Oral,Parenteral,Topical,Phase,First Approval,Withdrawn Flag
CHEMBL1988272,PICOLAMINE,HDOUGSFASVGDCS-UHFFFAOYSA-N,NCc1cccnc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2111072,TACLAMINE,BFHGFZIDLRXFJE-UHFFFAOYSA-N,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2104888,INGLIFORIB,GVDRRZOORHCTAN-MJUUVYJYSA-N,O=C(N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1C[C@@H](O)[C@@H](O)C1)c1cc2cc(Cl)ccc2[nH]1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1367478,LEVDOBUTAMINE,JRWZLRBJNMZMFE-ZDUSSCGKSA-N,C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106168,BROFOXINE,JRXGULDSFFLUAO-UHFFFAOYSA-N,CC1(C)OC(=O)Nc2ccc(Br)cc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1742433,BUTANSERIN,MLDQSYUQSLUEPG-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)C1CCN(CCCCn2c(=O)[nH]c3ccccc3c2=O)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2111138,ADATANSERIN,HPFLVTSWRFCPCV-UHFFFAOYSA-N,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL37681,SPARFOSIC ACID,ZZKNRXZVGOYGJT-UHFFFAOYSA-N,O=C(O)CC(NC(=O)CP(=O)(O)O)C(=O)O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2105306,PARVAQUONE,XBGHCDVBZZNDBY-UHFFFAOYSA-N,O=C1C(O)=C(C2CCCCC2)C(=O)c2ccccc21,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106630,DIMETHOLIZINE,ITNSQDCAZVVFMS-UHFFFAOYSA-N,COCCCN1CCN(c2ccccc2OC)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2111065,TROCLOSENE,CEJLBZWIKQJOAT-UHFFFAOYSA-N,O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1395071,FORMETOREX,SGSYPSYCGPLSML-UHFFFAOYSA-N,CC(Cc1ccccc1)NC=O,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106030,LEVOMOPROLOL,LFTFGCDECFPSQD-NSHDSACASA-N,COc1ccccc1OC[C@@H](O)CNC(C)C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1615357,AZACOSTEROL,FMTFZYKYVZBISL-HUVRVWIJSA-N,CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL303182,SULAMSEROD,NBUGBCTWXCXBQD-UHFFFAOYSA-N,CS(=O)(=O)NCCN1CCC(CCC(=O)c2cc(Cl)c(N)c3c2OCCO3)CC1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL1200368,BENTIROMIDE,SPPTWHFVYKCNNK-FQEVSTJZSA-N,O=C(O)c1ccc(NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)c2ccccc2)cc1,1:Synthetic Small Molecule,,,1,0,0,4.0,1983.0,False
CHEMBL1170610,BENZOXIQUINE,BHKPHCKISVSDGV-UHFFFAOYSA-N,O=C(Oc1cccc2cccnc12)c1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
CHEMBL2106620,FENACLON,BITWVVLBVUMFHU-UHFFFAOYSA-N,O=C(CCCl)NCCc1ccccc1,1:Synthetic Small Molecule,,,0,0,0,2.0,,False
